Song,URL
Forever More Adrian Younge,https://www.youtube.com/watch?v=7GRYS4m3zQ8
The Medicine Man [Feat. Old Crow Medicine Show] Keb' Mo',https://www.youtube.com/watch?v=MfNpa372t-Y
The Killing Moon Echo & the Bunnymen,https://www.youtube.com/watch?v=LWz0JC7afNQ
Immune Jensen McRae,https://www.youtube.com/watch?v=GnUQRT2TbQM
Life in Vain Built To Spill,https://www.youtube.com/watch?v=dupVFFIAwy0
I Feel Like I'm Drowning Two Feet,https://www.youtube.com/watch?v=i_WTHkBuqbg
Corona Minutemen,https://www.youtube.com/watch?v=gOFOqOjJ9Wk
Making Time The Creation,https://www.youtube.com/watch?v=2hEb2vOOaxI
Think I'm Crazy Two Feet,https://www.youtube.com/watch?v=qcqJeaxas7s
Klass Tom Ashbrook,https://www.youtube.com/watch?v=DiZy0XjF6LM
Forever & Ever More Nothing But Thieves,https://www.youtube.com/watch?v=zcw_rOzNTx8
Just for the Times Everyone You Know,https://www.youtube.com/watch?v=wzur72GQ9LI
Shark Smile - Edit Big Thief,https://www.youtube.com/watch?v=w1QlOfYxykI
Be Sweet Japanese Breakfast,https://www.youtube.com/watch?v=2ZfcZEIo6Bw
Mutual Excitement is a Wonderful Thing Laurence Guy,https://www.youtube.com/watch?v=7UW0FuD_eAU
The Hounds Taylor McCall,https://www.youtube.com/watch?v=5dae8j9aQhQ
The Lovecats The Cure,https://www.youtube.com/watch?v=mcUza_wWCfA
Headstart Jade Bird,https://www.youtube.com/watch?v=GRLrKUEplII
Rapture Data,https://www.youtube.com/watch?v=Dn9DyWtgCag
Be Here In The Morning Joy Denalane,https://www.youtube.com/watch?v=c0r83tdx4Wo
Vanished Crystal Castles,https://www.youtube.com/watch?v=6e6Hj7MwWaI
Le Queens Plants and Animals,https://www.youtube.com/watch?v=ZuOIDX56EUE
The Rat The Walkmen,https://www.youtube.com/watch?v=aWR1h-5EzUo
Black Myself Amythyst Kiah,https://www.youtube.com/watch?v=mqtPxwOW3HU
Soul I (Avow) Sebastian Plano,https://www.youtube.com/watch?v=hOcfXBMS8g4
